pair_id,traded_on,close_rate,daily_return,ma_10,ma_20,volatility_20,rsi_14,high_impact_eur_ratio,high_impact_usd_ratio,target
EURUSD,2018-01-24,1.24358000,0.92846592,1.22641200,1.21471650,0.49100153,76.39894419,0.08777880,0.27705255,-14.50000000
EURUSD,2018-01-25,1.24213000,-0.11659885,1.22852500,1.21656850,0.49442190,74.36623555,0.08777880,0.27705255,3.20000000
EURUSD,2018-01-26,1.24245000,0.02576220,1.23010100,1.21860200,0.48523465,74.52731095,0.08777880,0.27705255,-11.60000000
EURUSD,2018-01-28,1.24129000,-0.09336392,1.23173500,1.22029700,0.48322140,72.74287887,0.08777880,0.27705255,-41.50000000
EURUSD,2018-01-29,1.23714000,-0.33432961,1.23349900,1.22200550,0.48152171,66.59920174,0.08777880,0.27705255,48.00000000
EURUSD,2018-01-30,1.24194000,0.38799166,1.23507100,1.22397550,0.48264544,69.77850310,0.08777880,0.27705255,2.20000000
EURUSD,2018-01-31,1.24216000,0.01771422,1.23711400,1.22624300,0.46034882,69.91982884,0.08777880,0.27705255,71.40000000
EURUSD,2018-02-01,1.24930000,0.57480518,1.23980600,1.22902750,0.45507319,74.14554991,0.08777880,0.27705255,-38.70000000
EURUSD,2018-02-02,1.24543000,-0.30977347,1.24175600,1.23156550,0.47002886,68.52633711,0.08777880,0.27705255,4.60000000
EURUSD,2018-02-04,1.24589000,0.03693503,1.24313100,1.23359250,0.44259129,68.82873336,0.08777880,0.27705255,-102.60000000
EURUSD,2018-02-05,1.23563000,-0.82350769,1.24233600,1.23437400,0.42263231,55.92273235,0.08777880,0.27705255,31.80000000
EURUSD,2018-02-06,1.23881000,0.25735859,1.24200400,1.23526450,0.42482739,58.51892189,0.08777880,0.27705255,-129.40000000
EURUSD,2018-02-07,1.22587000,-1.04455082,1.24034600,1.23522350,0.48179109,46.51316681,0.08777880,0.27705255,-5.00000000
EURUSD,2018-02-08,1.22537000,-0.04078736,1.23875400,1.23524450,0.48077876,46.11943765,0.08777880,0.27705255,-4.50000000
EURUSD,2018-02-09,1.22492000,-0.03672360,1.23753200,1.23551550,0.46929885,45.74413273,0.08777880,0.27705255,37.50000000
EURUSD,2018-02-11,1.22867000,0.30614244,1.23620500,1.23563800,0.45785740,49.43678469,0.08777880,0.27705255,17.60000000
EURUSD,2018-02-12,1.23043000,0.14324432,1.23503200,1.23607300,0.44987233,51.11831207,0.08777880,0.27705255,72.80000000
EURUSD,2018-02-13,1.23771000,0.59166308,1.23387300,1.23683950,0.46672449,57.42532849,0.08777880,0.27705255,79.30000000
EURUSD,2018-02-14,1.24564000,0.64069936,1.23389400,1.23782500,0.48201477,63.02219991,0.08777880,0.27705255,91.80000000
EURUSD,2018-02-15,1.25482000,0.73697055,1.23478700,1.23895900,0.49529502,68.22908428,0.08777880,0.27705255,-145.30000000
EURUSD,2018-02-16,1.24029000,-1.15793500,1.23525300,1.23879450,0.52853961,55.02263999,0.08777880,0.27705255,12.70000000
EURUSD,2018-02-18,1.24156000,0.10239541,1.23552800,1.23876600,0.52852517,55.82744682,0.08777880,0.27705255,-28.20000000
EURUSD,2018-02-19,1.23874000,-0.22713361,1.23681500,1.23858050,0.53087210,53.53668852,0.08777880,0.27705255,-65.70000000
EURUSD,2018-02-20,1.23217000,-0.53037764,1.23749500,1.23812450,0.54317867,48.53947902,0.08777880,0.27705255,-48.90000000
EURUSD,2018-02-21,1.22728000,-0.39686082,1.23773100,1.23763150,0.54516585,45.16066308,0.08777880,0.27705255,28.50000000
EURUSD,2018-02-22,1.23013000,0.23222085,1.23787700,1.23704100,0.53983744,47.45633828,0.08777880,0.27705255,-8.50000000
EURUSD,2018-02-23,1.22928000,-0.06909839,1.23776200,1.23639700,0.53964398,46.82672943,0.08777880,0.27705255,19.30000000
EURUSD,2018-02-25,1.23121000,0.15700247,1.23711200,1.23549250,0.52195177,48.49754159,0.08777880,0.27705255,11.90000000
EURUSD,2018-02-26,1.23240000,0.09665289,1.23578800,1.23484100,0.52009955,49.55015387,0.08777880,0.27705255,-99.90000000
EURUSD,2018-02-27,1.22241000,-0.81061344,1.23254700,1.23366700,0.54639721,41.82240970,0.08777880,0.27705255,-30.70000000
EURUSD,2018-02-28,1.21934000,-0.25114323,1.23045200,1.23285250,0.52053584,39.76974459,0.08777880,0.27705255,84.70000000
EURUSD,2018-03-01,1.22781000,0.69463808,1.22907700,1.23230250,0.54346869,47.43513564,0.08777880,0.27705255,36.80000000
EURUSD,2018-03-02,1.23149000,0.29972064,1.22835200,1.23258350,0.49397898,50.38936036,0.08777880,0.27705255,6.50000000
EURUSD,2018-03-04,1.23214000,0.05278159,1.22834900,1.23292200,0.49377581,50.91411326,0.08777880,0.27705255,25.50000000
EURUSD,2018-03-05,1.23469000,0.20695700,1.22909000,1.23341050,0.49508089,53.01383397,0.08777880,0.27705255,68.20000000
EURUSD,2018-03-06,1.24151000,0.55236537,1.23022800,1.23405250,0.50498622,58.16783088,0.08777880,0.27705255,-9.00000000
EURUSD,2018-03-07,1.24061000,-0.07249237,1.23136100,1.23456150,0.50526581,57.27497397,0.08777880,0.27705255,-92.40000000
EURUSD,2018-03-08,1.23137000,-0.74479490,1.23137700,1.23424450,0.51704180,48.96501251,0.08777880,0.27705255,-9.60000000
EURUSD,2018-03-09,1.23041000,-0.07796194,1.23117800,1.23348300,0.49278996,48.18282600,0.08777880,0.27705255,18.70000000
EURUSD,2018-03-11,1.23228000,0.15198186,1.23216500,1.23235600,0.45919084,49.86293859,0.08777880,0.27705255,9.10000000
EURUSD,2018-03-12,1.23319000,0.07384685,1.23355000,1.23200100,0.38496354,50.70064221,0.08777880,0.27705255,72.40000000
EURUSD,2018-03-13,1.24043000,0.58709526,1.23481200,1.23194450,0.40816212,56.87438679,0.08777880,0.27705255,-24.70000000
EURUSD,2018-03-14,1.23796000,-0.19912450,1.23545900,1.23190550,0.40740270,54.37270864,0.08777880,0.27705255,-71.90000000
EURUSD,2018-03-15,1.23077000,-0.58079421,1.23532200,1.23183550,0.41098205,47.78381965,0.08777880,0.27705255,-20.70000000
EURUSD,2018-03-16,1.22870000,-0.16818739,1.23472300,1.23190650,0.40259846,46.05352434,0.08777880,0.27705255,-15.60000000
EURUSD,2018-03-18,1.22714000,-0.12696346,1.23328600,1.23175700,0.40000491,44.73871785,0.08777880,0.27705255,73.90000000
EURUSD,2018-03-19,1.23453000,0.60221328,1.23267800,1.23201950,0.42244543,51.76415541,0.08777880,0.27705255,-82.30000000
EURUSD,2018-03-20,1.22630000,-0.66665047,1.23217100,1.23177400,0.44798368,44.91572680,0.08777880,0.27705255,100.50000000
EURUSD,2018-03-21,1.23635000,0.81953845,1.23276500,1.23197150,0.48540679,53.07925040,0.08777880,0.27705255,-29.00000000
EURUSD,2018-03-22,1.23345000,-0.23456141,1.23288200,1.23252350,0.44946657,50.74236531,0.08777880,0.27705255,16.40000000
EURUSD,2018-03-23,1.23509000,0.13296040,1.23307200,1.23331100,0.44428144,52.02861524,0.08777880,0.27705255,22.20000000
EURUSD,2018-03-25,1.23731000,0.17974399,1.23276000,1.23378600,0.42014612,53.78776414,0.08777880,0.27705255,78.50000000
EURUSD,2018-03-26,1.24516000,0.63444084,1.23348000,1.23446950,0.43737544,59.45028160,0.08777880,0.27705255,-30.40000000
EURUSD,2018-03-27,1.24212000,-0.24414533,1.23461500,1.23496850,0.44250411,56.55993399,0.08777880,0.27705255,-93.50000000
EURUSD,2018-03-28,1.23277000,-0.75274531,1.23502200,1.23487250,0.47447207,48.71512003,0.08777880,0.27705255,-14.80000000
EURUSD,2018-03-29,1.23129000,-0.12005484,1.23543700,1.23436150,0.45624457,47.58993574,0.08777880,0.27705255,8.60000000
EURUSD,2018-03-30,1.23215000,0.06984545,1.23519900,1.23393850,0.45682630,48.33666597,0.08777880,0.27705255,-3.30000000
EURUSD,2018-04-01,1.23182000,-0.02678245,1.23575100,1.23396100,0.42507180,48.05373767,0.08777880,0.27705255,-12.80000000
EURUSD,2018-04-02,1.23054000,-0.10391129,1.23517000,1.23396750,0.42537041,46.90686085,0.08777880,0.27705255,-23.00000000
EURUSD,2018-04-03,1.22824000,-0.18690981,1.23464900,1.23376550,0.42580540,44.83614540,0.08777880,0.27705255,2.00000000
EURUSD,2018-04-04,1.22844000,0.01628346,1.23398400,1.23352800,0.42536359,45.06325413,0.08777880,0.27705255,-42.50000000
EURUSD,2018-04-05,1.22419000,-0.34596724,1.23267200,1.23271600,0.40619083,41.18315800,0.08777880,0.27705255,37.40000000
EURUSD,2018-04-06,1.22793000,0.30550813,1.23094900,1.23221450,0.41304215,45.62049621,0.08777880,0.27705255,-6.80000000
EURUSD,2018-04-08,1.22725000,-0.05537775,1.22946200,1.23203850,0.39305130,44.95639496,0.08777880,0.27705255,42.20000000
EURUSD,2018-04-09,1.23147000,0.34385822,1.22933200,1.23217700,0.39908135,49.83671687,0.08777880,0.27705255,48.00000000
EURUSD,2018-04-10,1.23627000,0.38977807,1.22983000,1.23263350,0.40627254,54.75103962,0.08777880,0.27705255,5.90000000
EURUSD,2018-04-11,1.23686000,0.04772420,1.23030100,1.23275000,0.38404443,55.33031632,0.08777880,0.27705255,-38.80000000
EURUSD,2018-04-12,1.23298000,-0.31369759,1.23041700,1.23308400,0.35857298,50.73078644,0.08777880,0.27705255,-1.50000000
EURUSD,2018-04-13,1.23283000,-0.01216565,1.23064600,1.23290800,0.30633991,50.55581562,0.08777880,0.27705255,9.80000000
EURUSD,2018-04-15,1.23381000,0.07949190,1.23120300,1.23292600,0.30245317,51.72724370,0.08777880,0.27705255,43.10000000
EURUSD,2018-04-16,1.23812000,0.34932445,1.23217100,1.23307750,0.31113285,56.59749215,0.08777880,0.27705255,0.40000000
EURUSD,2018-04-17,1.23816000,0.00323070,1.23356800,1.23312000,0.30863893,56.64121350,0.08777880,0.27705255,-3.30000000
EURUSD,2018-04-18,1.23783000,-0.02665245,1.23455800,1.23275350,0.27061171,56.13877801,0.08777880,0.27705255,-37.10000000
EURUSD,2018-04-19,1.23412000,-0.29971805,1.23524500,1.23235350,0.27320813,50.69435330,0.08777880,0.27705255,-55.90000000
EURUSD,2018-04-20,1.22853000,-0.45295433,1.23495100,1.23214150,0.23746624,43.80147846,0.08777880,0.27705255,-13.70000000
EURUSD,2018-04-22,1.22716000,-0.11151539,1.23404000,1.23193500,0.23727872,42.28404123,0.08777880,0.27705255,-58.60000000
EURUSD,2018-04-23,1.22130000,-0.47752534,1.23248400,1.23139250,0.25749782,36.46490199,0.08777880,0.27705255,10.30000000
EURUSD,2018-04-24,1.22233000,0.08433636,1.23141900,1.23091800,0.25908050,38.07796660,0.08777880,0.27705255,-45.90000000
EURUSD,2018-04-25,1.21774000,-0.37551234,1.22991000,1.23027800,0.26960273,33.94235135,0.08777880,0.27705255,-62.30000000
EURUSD,2018-04-26,1.21151000,-0.51160346,1.22768000,1.22944150,0.28735091,29.29209535,0.08777880,0.27705255,13.00000000
EURUSD,2018-04-27,1.21281000,0.10730411,1.22514900,1.22866000,0.28947163,31.40399722,0.08777880,0.27705255,-3.50000000
EURUSD,2018-04-29,1.21246000,-0.02885860,1.22257900,1.22807350,0.28177396,31.13437524,0.08777880,0.27705255,-48.80000000
EURUSD,2018-04-30,1.20758000,-0.40248750,1.21955400,1.22705600,0.27952191,27.57900072,0.08777880,0.27705255,-70.70000000
EURUSD,2018-05-01,1.20051000,-0.58546846,1.21619300,1.22571900,0.30105246,23.40837887,0.08777880,0.27705255,-24.90000000
EURUSD,2018-05-02,1.19802000,-0.20741185,1.21314200,1.22404650,0.28197664,22.13857522,0.08777880,0.27705255,12.50000000
EURUSD,2018-05-03,1.19927000,0.10433883,1.21035300,1.22219650,0.26028893,24.35692368,0.08777880,0.27705255,-35.70000000
EURUSD,2018-05-04,1.19570000,-0.29768109,1.20779300,1.22013850,0.25782244,22.39450456,0.08777880,0.27705255,9.80000000
EURUSD,2018-05-06,1.19668000,0.08196036,1.20522800,1.21832350,0.26127253,24.19993781,0.08777880,0.27705255,-51.70000000
EURUSD,2018-05-07,1.19151000,-0.43202861,1.20260500,1.21625750,0.26651639,21.37479694,0.08777880,0.27705255,-63.20000000
EURUSD,2018-05-08,1.18519000,-0.53041938,1.19997300,1.21382650,0.27132034,18.52737989,0.08777880,0.27705255,11.60000000
EURUSD,2018-05-09,1.18635000,0.09787460,1.19732700,1.21123800,0.24944734,20.61763227,0.08777880,0.27705255,54.30000000
EURUSD,2018-05-10,1.19178000,0.45770641,1.19525900,1.20891900,0.28791953,29.70870463,0.08777880,0.27705255,23.40000000
EURUSD,2018-05-11,1.19412000,0.19634496,1.19391300,1.20673350,0.29870685,33.25605162,0.08777880,0.27705255,23.30000000
EURUSD,2018-05-13,1.19645000,0.19512277,1.19350700,1.20485000,0.30852841,36.68254819,0.08777880,0.27705255,-31.60000000
EURUSD,2018-05-14,1.19329000,-0.26411467,1.19303400,1.20308800,0.30172612,34.12388719,0.08777880,0.27705255,-99.80000000
EURUSD,2018-05-15,1.18331000,-0.83634322,1.19143800,1.20089550,0.33875360,27.58073247,0.08777880,0.27705255,-5.30000000
EURUSD,2018-05-16,1.18278000,-0.04478962,1.19014600,1.19896950,0.33259603,27.28155573,0.08777880,0.27705255,-24.70000000
